2019-05-31 20:46:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,14; Parcels:      1; Health:  95.0; Health Usage: 100.0; Fuel: 216.0; Tile: ROAD
2019-05-31 20:46:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,15; Parcels:      2; Health:  95.0; Health Usage: 100.0; Fuel: 215.0; Tile: ROAD
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,16; Parcels:      2; Health:  95.0; Health Usage: 100.0; Fuel: 214.0; Tile: FINISH
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,17; Parcels:      2; Health:  95.0; Health Usage: 100.0; Fuel: 213.0; Tile: FINISH
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,18; Parcels:      2; Health:  95.0; Health Usage: 100.0; Fuel: 212.0; Tile: FINISH
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 22,18; Parcels:      2; Health:  95.0; Health Usage: 100.0; Fuel: 211.0; Tile: FINISH
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 21,18; Parcels:      2; Health:  90.0; Health Usage: 100.0; Fuel: 210.0; Tile: TRAP(lava)
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 20,18; Parcels:      2; Health:  85.0; Health Usage: 100.0; Fuel: 209.0; Tile: TRAP(lava)
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,17; Parcels:      2; Health:  80.0; Health Usage: 100.0; Fuel: 208.0; Tile: TRAP(lava)
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,16; Parcels:      2; Health:  75.0; Health Usage: 100.0; Fuel: 207.0; Tile: TRAP(lava)
